,event_time,event_type,product_id,category_id,category_code,brand,price,user_id,user_session
0,2019-10-01 00:00:00 UTC,cart,5773203,1.48758E+18,,runail,2.62,463240011,26dd6e6e-4dac-4778-8d2c-92e149dab885
1,2019-10-01 00:00:03 UTC,cart,5773353,1.48758E+18,,runail,2.62,463240011,26dd6e6e-4dac-4778-8d2c-92e149dab885
2,2019-10-01 00:00:07 UTC,cart,5881589,2.15119E+18,,lovely,13.48,429681830,49e8d843-adf3-428b-a2c3-fe8bc6a307c9
3,2019-10-01 00:00:07 UTC,cart,5723490,1.48758E+18,,runail,2.62,463240011,26dd6e6e-4dac-4778-8d2c-92e149dab885
4,2019-10-01 00:00:15 UTC,cart,5881449,1.48758E+18,,lovely,0.56,429681830,49e8d843-adf3-428b-a2c3-fe8bc6a307c9
5,2019-10-01 00:00:16 UTC,cart,5857269,1.48758E+18,,runail,2.62,430174032,73dea1e7-664e-43f4-8b30-d32b9d5af04f
6,2019-10-01 00:00:19 UTC,cart,5739055,1.48758E+18,,kapous,4.75,377667011,81326ac6-daa4-4f0a-b488-fd0956a78733
7,2019-10-01 00:00:24 UTC,cart,5825598,1.48758E+18,,,0.56,467916806,2f5b5546-b8cb-9ee7-7ecd-84276f8ef486
8,2019-10-01 00:00:25 UTC,cart,5698989,1.48758E+18,,,1.27,385985999,d30965e8-1101-44ab-b45d-cc1bb9fae694
9,2019-10-01 00:00:26 UTC,view,5875317,2.02908E+18,,,1.59,474232307,445f2b74-5e4c-427e-b7fa-6e0a28b156fe
10,2019-10-01 00:00:28 UTC,view,5692917,1.48758E+18,,lianail,5.54,555446068,4257671a-efc8-4e58-96c2-3ab457916d78
11,2019-10-01 00:00:28 UTC,remove_from_cart,5834172,1.48758E+18,,runail,0.95,429681830,49e8d843-adf3-428b-a2c3-fe8bc6a307c9
12,2019-10-01 00:00:30 UTC,remove_from_cart,5809103,1.48758E+18,,irisk,0.6,429681830,49e8d843-adf3-428b-a2c3-fe8bc6a307c9
13,2019-10-01 00:00:30 UTC,remove_from_cart,5809103,1.48758E+18,,irisk,0.6,429681830,49e8d843-adf3-428b-a2c3-fe8bc6a307c9
14,2019-10-01 00:00:32 UTC,remove_from_cart,5779403,1.48758E+18,,,12.22,429681830,49e8d843-adf3-428b-a2c3-fe8bc6a307c9
15,2019-10-01 00:00:33 UTC,remove_from_cart,5779403,1.48758E+18,,,12.22,429681830,49e8d843-adf3-428b-a2c3-fe8bc6a307c9
16,2019-10-01 00:00:34 UTC,cart,5670337,1.75274E+18,,,2.38,546705258,3b5c65c0-bb1c-453b-b340-4ebf973a3136
17,2019-10-01 00:00:42 UTC,cart,5836522,1.48758E+18,,nagaraku,0.4,429681830,49e8d843-adf3-428b-a2c3-fe8bc6a307c9
18,2019-10-01 00:00:43 UTC,cart,5836522,1.48758E+18,,nagaraku,0.4,429681830,49e8d843-adf3-428b-a2c3-fe8bc6a307c9
19,2019-10-01 00:00:48 UTC,view,5819638,1.48758E+18,,,21.75,546705258,3b5c65c0-bb1c-453b-b340-4ebf973a3136
20,2019-10-01 00:00:48 UTC,cart,5859414,1.48758E+18,,masura,2.37,555442940,618f3d7d-2939-47ea-8f1d-07a4f97d0fe2
21,2019-10-01 00:00:53 UTC,view,5856191,1.48758E+18,appliances.environment.vacuum,runail,24.44,507355498,944c7e9b-40bd-4112-a05b-81e73f37e0c0
